folder,sample_rate,channels,bit_depth,subtype,duration_sec,distance,height
20241115_093128,96000,8,32,PCM_32,60.0,,
20241115_093611,96000,8,32,PCM_32,40.0,20,20
20241115_093711,96000,8,32,PCM_32,40.0,20,20
20241115_093804,96000,8,32,PCM_32,40.0,20,20
20241115_093858,96000,8,32,PCM_32,40.0,20,20
20241115_094002,96000,8,32,PCM_32,40.0,20,10
20241115_094100,96000,8,32,PCM_32,40.0,20,10
20241115_094149,96000,8,32,PCM_32,40.0,20,10
20241115_094238,96000,8,32,PCM_32,40.0,20,10
20241115_094427,96000,8,32,PCM_32,40.0,20,10
20241115_094518,96000,8,32,PCM_32,40.0,20,10
20241115_094607,96000,8,32,PCM_32,40.0,20,10
20241115_094700,96000,8,32,PCM_32,40.0,20,10
20241115_095115,96000,8,32,PCM_32,40.0,20,20
20241115_095206,96000,8,32,PCM_32,40.0,20,20
20241115_095305,96000,8,32,PCM_32,40.0,20,20
20241115_095353,96000,8,32,PCM_32,40.0,20,20
20241115_095838,96000,8,32,PCM_32,40.0,20,10
20241115_095930,96000,8,32,PCM_32,40.0,20,10
20241115_100248,96000,8,32,PCM_32,40.0,20,10
20241115_100345,96000,8,32,PCM_32,40.0,20,10
20241115_100447,96000,8,32,PCM_32,40.0,20,20
20241115_100536,96000,8,32,PCM_32,40.0,20,20
20241115_100625,96000,8,32,PCM_32,40.0,20,20
20241115_100715,96000,8,32,PCM_32,40.0,20,20
20241115_100848,96000,8,32,PCM_32,40.0,20,10
20241115_100956,96000,8,32,PCM_32,40.0,20,10
20241115_101056,96000,8,32,PCM_32,40.0,20,10
20241115_101200,96000,8,32,PCM_32,40.0,20,10
20241115_101304,96000,8,32,PCM_32,40.0,20,20
20241115_101358,96000,8,32,PCM_32,40.0,20,20
20241115_101450,96000,8,32,PCM_32,40.0,20,20
20241115_101633,96000,8,32,PCM_32,40.0,20,20
20241115_101957,96000,8,32,PCM_32,40.0,20,10
20241115_102054,96000,8,32,PCM_32,40.0,20,10
20241115_102151,96000,8,32,PCM_32,40.0,20,10
